pret,descriere,link
1699,"Laptop ASUS E510MA-BQ589 cu procesor Intel® Pentium® Silver N5030, 15.6"" Full HD, 4GB, SSD 256GB, Intel® UHD Graphics 605, No OS, Black",https://www.emag.ro/laptop-asus-cu-procesor-intelr-pentiumr-silver-n5030-15-6-full-hd-4gb-ssd-256gb-intelr-uhd-graphics-605-no-os-black-e510ma-bq589/pd/DBKHWPMBM/
1699,"Laptop ASUS E410MA cu procesor Intel Celeron N4020 pana la 2.80 GHz, 14"", Full HD, 4GB, 256GB SSD, Intel® UHD Graphics 600, Free DOS, Peacock Blue",https://www.emag.ro/laptop-asus-e410ma-cu-procesor-intel-celeron-n4020-pana-la-2-80-ghz-14-full-hd-4gb-256gb-ssd-intelr-uhd-graphics-600-free-dos-peacock-blue-e410ma-ek211/pd/DH919TMBM/
1719,"Laptop ultraportabil ASUS X409FA cu procesor Intel® Core™ i3-10110U, 14"", HD, 8GB, 256GB SSD, Intel® HD Graphics 520, No OS, Star Grey",https://www.emag.ro/laptop-ultraportabil-asus-x409fa-cu-procesor-intelr-coretm-i3-10110u-14-hd-8gb-256gb-ssd-intelr-hd-graphics-520-no-os-star-grey-x409fa-bv611/pd/DZ52NPMBM/
1720,"Laptop Lenovo Ideapad S145-15IGM cu procesor Intel® Celeron™ N4000 Gemini Lake, 1.10Ghz up to 2.60Ghz,4GB DDR4, 1TB HDD, Intel UHD Graphics 600, Display 15.6 inchi HD, Webcam",https://www.emag.ro/laptop-lenovo-ideapad-s145-15igm-cu-procesor-intelr-celerontm-n4000-gemini-lake-1-10ghz-up-to-2-60ghz-4gb-ddr4-1tb-hdd-intel-uhd-graphics-600-display-15-6-inchi-hd-webcam-lg-01122020/pd/D05167MBM/
1729,"Laptop Acer Aspire 3 A315-23 cu procesor AMD A3020e pana la 2.60 GHz, 15.6"", Full HD, 4GB, 256GB SSD, AMD Radeon Grapfics, No OS, Black",https://www.emag.ro/laptop-acer-aspire-3-a315-23-cu-procesor-amd-a3020e-pana-la-2-60-ghz-15-6-full-hd-4gb-256gb-ssd-amd-radeon-grapfics-no-os-black-nx-hvtex-00k/pd/D50Y87MBM/
1749,"Laptop ultraportabil Chuwi GemiBook Pro cu procesor Intel Celeron J4125 pana la 2.7GHz, 14"", 2K, 256GB SSD, 8GB RAM, Intel UHD Graphics 600, Windows 10 Home, Space Grey",https://www.emag.ro/laptop-ultraportabil-chuwi-gemibook-pro-cu-procesor-intel-celeron-j4125-pana-la-2-7ghz-14-2k-256gb-ssd-8gb-ram-intel-uhd-graphics-600-windows-10-home-space-grey-gebookpy256g21040609/pd/DG0LRPMBM/
1749,"Laptop Lenovo IdeaPad 3 15IML05 cu procesor Intel® Pentium® Gold 6405U, 15.6"" HD, 4GB, 256GB SSD, Intel® UHD Graphics, Windows 10 Home S, Platinum Grey",https://www.emag.ro/laptop-lenovo-ideapad-3-15iml05-cu-procesor-intelr-pentiumr-gold-6405u-15-6-hd-4gb-256gb-ssd-intelr-uhd-graphics-windows-10-home-s-platinum-grey-81wb00p0rm/pd/DC3P03MBM/
1749,"Laptop ASUS X515EA cu procesor Intel® Core™ i3-1115G4 pana la 4.10GHz, 15.6"", Full HD, 8GB, 256GB SSD, Intel® UHD Graphics, No OS, Slate Grey",https://www.emag.ro/laptop-asus-x515ea-cu-procesor-intelr-coretm-i3-1115g4-pana-la-4-10ghz-15-6-full-hd-8gb-256gb-ssd-intelr-uhd-graphics-no-os-slate-grey-x515ea-bq1104/pd/DGSWBXMBM/
1750,"Laptop Lenovo V15 ADA cu procesor AMD Ryzen 3 3250U pana la 3.50 GHz, 15.6"", Full HD, 4GB, 1TB HDD, Radeon Integrated Graphics, Windows 10 Pro, Iron Grey",https://www.emag.ro/laptop-lenovo-v15-ada-cu-procesor-amd-ryzen-3-3250u-pana-la-3-50-ghz-15-6-full-hd-4gb-1tb-hdd-radeon-integrated-graphics-windows-10-pro-iron-grey-82c7s00t00/pd/DDPD1PMBM/
1762,"Laptop Lenovo E41-25 AMD Pro A4 4350B 2.5GHz 500GB 4GB 14"" (1366x768) BT FREE DOS Webcam BLACK",https://www.emag.ro/laptop-lenovo-e41-25-amd-pro-a4-4350b-2-5ghz-500gb-4gb-14-1366x768-bt-free-dos-webcam-black-mv3d-14-dk1031/pd/DDY1MTMBM/
